date_to,PM10,PM2.5
2026-03-21 13:00,14,9
2026-03-21 14:00,19,14
2026-03-21 15:00,26,20
2026-03-21 16:00,19,14
2026-03-21 17:00,19,14
2026-03-21 18:00,28,22
2026-03-21 19:00,30,24
2026-03-21 20:00,40,33
2026-03-21 21:00,33,26
2026-03-21 22:00,33,28
2026-03-21 23:00,40,34
2026-03-22 00:00,31,26
2026-03-22 01:00,24,20
2026-03-22 02:00,25,22
2026-03-22 03:00,37,34
2026-03-22 04:00,29,26
2026-03-22 05:00,22,20
2026-03-22 06:00,19,16
2026-03-22 07:00,19,16
2026-03-22 08:00,25,21
2026-03-22 09:00,36,30
2026-03-22 10:00,22,17
2026-03-22 11:00,13,9
2026-03-22 12:00,16,12
2026-03-22 13:00,15,11
2026-03-22 14:00,14,10
2026-03-22 15:00,17,12
2026-03-22 16:00,18,12
2026-03-22 17:00,28,22
2026-03-22 18:00,19,14
2026-03-22 19:00,39,31
2026-03-22 20:00,40,32
2026-03-22 21:00,38,30
2026-03-22 22:00,36,32
2026-03-22 23:00,21,18
2026-03-23 00:00,23,20
2026-03-23 01:00,22,18
2026-03-23 02:00,19,16
2026-03-23 03:00,19,16
2026-03-23 04:00,21,19
2026-03-23 05:00,20,17
2026-03-23 06:00,20,17
2026-03-23 07:00,36,29
2026-03-23 08:00,28,24
2026-03-23 09:00,34,30
2026-03-23 10:00,27,25
2026-03-23 11:00,22,20
2026-03-23 12:00,21,17
2026-03-23 13:00,18,14
2026-03-23 14:00,18,14
2026-03-23 15:00,19,14
2026-03-23 16:00,20,16
2026-03-23 17:00,16,13
2026-03-23 18:00,27,23
2026-03-23 19:00,34,28
2026-03-23 20:00,19,16
2026-03-23 21:00,24,22
2026-03-23 22:00,15,13
2026-03-23 23:00,16,14
2026-03-24 00:00,24,23
2026-03-24 01:00,16,14
2026-03-24 02:00,13,11
2026-03-24 03:00,12,11
2026-03-24 04:00,12,10
2026-03-24 05:00,11,10
2026-03-24 06:00,13,11
2026-03-24 07:00,14,13
2026-03-24 08:00,16,13
2026-03-24 09:00,36,28
2026-03-24 10:00,18,14
2026-03-24 11:00,15,10
2026-03-24 12:00,15,10
2026-03-24 13:00,13,9
2026-03-24 14:00,15,9
2026-03-24 15:00,15,9
2026-03-24 16:00,15,9
2026-03-24 17:00,19,13
2026-03-24 18:00,30,23
2026-03-24 19:00,33,24
2026-03-24 20:00,26,19
2026-03-24 21:00,26,19
2026-03-24 22:00,17,14
2026-03-24 23:00,24,20
2026-03-25 00:00,18,15
2026-03-25 01:00,16,13
2026-03-25 02:00,16,13
2026-03-25 03:00,16,13
2026-03-25 04:00,15,13
2026-03-25 05:00,18,15
2026-03-25 06:00,18,15
2026-03-25 07:00,26,18
2026-03-25 08:00,34,28
2026-03-25 09:00,47,37
2026-03-25 10:00,31,24
2026-03-25 11:00,33,22
2026-03-25 12:00,20,12
2026-03-25 13:00,14,9
2026-03-25 14:00,14,9
2026-03-25 15:00,16,10
2026-03-25 16:00,18,10
2026-03-25 17:00,14,9
2026-03-25 18:00,13,8
2026-03-25 19:00,13,9
2026-03-25 20:00,12,9
2026-03-25 21:00,18,15
2026-03-25 22:00,19,15
2026-03-25 23:00,19,16
2026-03-26 00:00,15,12
2026-03-26 01:00,15,12
2026-03-26 02:00,8,6
2026-03-26 03:00,2,2
2026-03-26 04:00,2,2
2026-03-26 05:00,2,2
2026-03-26 06:00,2,2
2026-03-26 07:00,2,2
2026-03-26 08:00,3,3
2026-03-26 09:00,2,2
2026-03-26 10:00,2,2
2026-03-26 11:00,5,4
2026-03-26 12:00,9,5
2026-03-26 13:00,16,13
2026-03-26 14:00,6,5
2026-03-26 15:00,17,14
2026-03-26 16:00,15,14
2026-03-26 17:00,13,9
2026-03-26 18:00,10,9
2026-03-26 19:00,9,8
2026-03-26 20:00,7,7
2026-03-26 21:00,6,5
2026-03-26 22:00,5,5
2026-03-26 23:00,3,3
2026-03-27 00:00,3,2
2026-03-27 01:00,2,2
2026-03-27 02:00,2,2
2026-03-27 03:00,2,2
2026-03-27 04:00,3,3
2026-03-27 05:00,4,4
2026-03-27 06:00,3,3
2026-03-27 07:00,2,2
2026-03-27 08:00,2,2
2026-03-27 09:00,2,2
2026-03-27 10:00,6,6
2026-03-27 11:00,6,5
2026-03-27 12:00,8,8
2026-03-27 13:00,11,10
2026-03-27 14:00,11,9
2026-03-27 15:00,10,6
2026-03-27 16:00,12,8
2026-03-27 17:00,12,9
2026-03-27 18:00,11,9
2026-03-27 19:00,13,11
2026-03-27 20:00,15,12
2026-03-27 21:00,8,5
2026-03-27 22:00,11,8
2026-03-27 23:00,13,11
2026-03-28 00:00,8,7
2026-03-28 01:00,10,8
2026-03-28 02:00,24,22
2026-03-28 03:00,9,7
2026-03-28 04:00,8,6
2026-03-28 05:00,6,5
2026-03-28 06:00,7,6
2026-03-28 07:00,11,9
2026-03-28 08:00,10,8
2026-03-28 09:00,7,5
2026-03-28 10:00,8,7
2026-03-28 11:00,7,5
2026-03-28 12:00,8,7
